date_of_campaign,facebook_ad_views,facebook_ad_clicks,facebook_ad_conversions,facebook_cost_per_ad,facebook_ctr,facebook_conversion_rate,facebook_cost_per_click,adword_ad_views,adword_ad_clicks,adword_ad_conversions,adword_cost_per_ad,adword_ctr,adword_conversion_rate,adword_cost_per_click
2022-01-01,3860,154,62,212.52,3.99,40.26,1.38,10123,505,5,66.94,4.99,0.99,0.13
2022-01-02,4294,171,64,181.26,3.98,37.43,1.06,7897,394,40,86.96,4.99,10.15,0.22
2022-01-03,4130,165,59,219.45,4.0,35.76,1.33,11876,592,10,70.32,4.98,1.69,0.12
2022-01-04,4095,163,53,197.23,3.98,32.52,1.21,7225,360,13,101.85,4.98,3.61,0.28
2022-01-05,4638,185,60,222.0,3.99,32.43,1.2,8209,409,46,110.64,4.98,11.25,0.27
2022-01-06,5169,206,63,168.92,3.99,30.58,0.82,11898,593,28,106.26,4.98,4.72,0.18
2022-01-07,3466,138,56,100.74,3.98,40.58,0.73,11837,590,40,80.74,4.98,6.78,0.14
2022-01-08,4238,169,66,119.99,3.99,39.05,0.71,9178,458,7,132.71,4.99,1.53,0.29
2022-01-09,3330,133,39,180.88,3.99,29.32,1.36,9679,483,38,61.69,4.99,7.87,0.13
2022-01-10,4482,179,59,236.28,3.99,32.96,1.32,9885,493,48,87.84,4.99,9.74,0.18
2022-01-11,5135,205,73,192.7,3.99,35.61,0.94,9806,489,47,117.52,4.99,9.61,0.24
2022-01-12,5919,236,81,148.68,3.99,34.32,0.63,7703,384,23,121.35,4.99,5.99,0.32
2022-01-13,3130,125,34,110.0,3.99,27.2,0.88,9544,476,47,93.29,4.99,9.87,0.2
2022-01-14,4685,187,62,209.44,3.99,33.16,1.12,9370,467,19,61.35,4.98,4.07,0.13
2022-01-15,3769,150,62,142.5,3.98,41.33,0.95,10281,513,5,109.44,4.99,0.97,0.21
2022-01-16,5391,215,72,275.2,3.99,33.49,1.28,11710,584,38,65.05,4.99,6.51,0.11
2022-01-17,4515,180,62,270.0,3.99,34.44,1.5,7328,365,5,68.63,4.98,1.37,0.19
2022-01-18,5853,234,76,161.46,4.0,32.48,0.69,11228,560,30,112.02,4.99,5.36,0.2
